0.0 76.9

119.5835105 75.1
 
241.7271 73.3
 
361.9201164 71.6
 
483.660097 70.1
 
602.3868775 68.5
 
723.808774 67.2
 
842.9622949 65.8
 
971.2102495 64.4
 
1084.8058093 63.2
 
1206.8384785 62.1
 
1325.6115649 61.0
 
1447.2158751 59.9
 
1567.9043762 58.9
 
1693.4720789 57.9
 
1808.6081929 56.9
 
1928.064139 56.0
 
2049.5506989 55.1
 
2170.5338572 54.2
 
2291.4934993 53.4
 
2411.1858395 52.6
 
2531.6457207 51.8
 
2652.0696382 51.1
 
2772.015316 50.3
 
2894.0388523 49.7
 
3013.4961979 49.0
 
3135.6619562 48.3
 
3255.8080105 47.9
 
3739.3095639 45.4
 
3859.9656702 44.9
 
3978.4782074 44.3
 
4101.1932056 43.8
 
4219.791071 43.3
 
4346.5354556 42.8
 
4463.3927181 42.3
 
4581.3880699 41.9
 
4701.75306 41.5
 
4820.5892229 41.1
 
4943.3088837 40.6
 
5061.2265503 40.2
 
5184.2861182 39.8
 
5304.2361774 39.4
 
5425.1677253 39.1
 
5545.0164287 38.7
 
5665.4523977 38.3
 
5786.2806147 38.0
 
5906.7387745 37.7
 
6026.8183782 37.3
 
6147.2612071 37.0
 
6268.1197881 36.7
 
6395.1200441 36.3
 
6510.1900569 36.1
 
6630.8261139 35.8
 
6750.3676001 35.5
 
6871.3816882 35.2
 
6991.2344101 35.0
 
7117.0576157 34.8
 
7233.017867 34.5
 
7354.3889896 34.2
 
7474.2271112 34.0
 
7593.9392893 33.8
 
7715.2760319 33.5
 
7832.2417156 33.3
 
7958.6406024 33.1
 
8071.9568278 32.9
 
8196.3213554 32.7
 
8317.2496107 32.4
 
8438.1844834 32.2
 
8559.440107 32.0
 
8677.8046279 31.9
 
8798.58786 31.7
 
8920.2933024 31.4
 
9040.5434105 31.2
 
9160.4868527 31.1
 
9277.6274074 30.9
 
9401.836313 30.8
 
9522.2321815 30.5
 
9648.4811021 30.4
 
9762.6877344 30.2
 
9886.881482 30.1
 
10003.6562542 29.9
 
10128.6922103 29.8
 
10244.4202313 29.3
 
10365.6537775 29.1
 
10489.0882056 29.0
 
10613.1671681 28.9
 
10729.1236013 28.8
 
10850.6059294 28.6
 
10968.7667758 28.5
 
11092.1590169 28.3
 
11213.7907801 28.2
 
11331.2562818 28.1
 
11450.5216705 28.0
 
11572.6512725 27.9
 
11691.712068 27.8
 
11813.7741247 27.6
 
11938.564034 27.5
 
12055.55867 27.4
 
12173.2544869 27.3
 
12294.026072 27.2
 
12415.5651408 27.1
 
12536.696274 27.0
 
12658.9024065 26.9
 
12776.1279352 26.8
 
12896.9542565 26.7
 
13019.5803409 26.5
 
13141.3183411 26.5
 
13254.4096093 26.3
 
13379.0655093 26.2
 
13506.4821093 26.2
 
13625.5663286 26.1
 
13744.4044635 26.0
 
13867.1769332 25.9
 
13982.3098149 25.8
 
14103.2104648 25.8
 
14221.6319928 25.7
 
14343.8017785 25.5
 
14464.1488869 25.5
 
14583.4927536 25.4
 
14702.8963546 25.3
 
14822.6742689 25.3
 
14943.3312898 25.2
 
15065.5989219 25.1
 
15185.3432864 25.1
 
15307.3436993 25.0
 
